RollNumber,Name,English,Math,Science,S.S.T
1,Yvette Purkess,21,40,64,96
2,Rossy Mocker,58,26,19,49
3,Sylas Gallaccio,31,95,59,24
4,Gerta Cancellieri,59,58,48,55
5,Lewes Cawdron,59,41,20,65
6,Patrizia Eastman,1,90,81,94
7,Joyann Hully,92,30,68,1
8,Clevie Giamitti,71,39,64,10
9,Kelci Giacopello,67,28,70,41
10,Vicki Gayther,69,74,65,59
11,Veronika Dunks,48,22,84,0
12,Celia Habershaw,60,88,75,84
13,Bellanca Meins,4,58,69,44
14,Celestine Harber,65,14,63,19
15,Lissy Durrell,90,52,30,31
16,Darcie McAnulty,9,10,80,12
17,Washington Beggini,18,81,60,86
18,Tessa Capineer,90,95,35,82
19,Gladys Truckell,95,7,92,95
20,Linn Dugood,17,55,89,50
21,Olivette Greetham,55,99,10,89
22,Ethan Pittam,55,62,15,93
23,Eolanda Rattry,30,43,78,26
24,Faun Oxbrow,15,55,0,88
25,Randi Mathew,83,47,56,91
26,Berta Louthe,15,0,59,41
27,Morse Shreeves,53,92,47,81
28,Clerissa Wrigley,95,19,34,68
29,Reamonn Archbold,86,85,98,39
30,Theobald McLleese,35,51,63,87
31,Willabella Neasham,87,38,100,88
32,Maurene Crispin,98,43,23,10
33,Bat Pee,65,93,86,42
34,Felecia Mendez,76,92,12,53
35,Jacky Columbine,2,59,60,12
36,Eleanore Sweeney,37,28,85,39
37,Clevie Wallman,91,25,53,27
38,Grantley Bonhome,15,23,14,50
39,Yoko Roloff,20,94,0,40
40,Terrill Lodin,26,37,54,57
41,Tony Prudham,29,82,99,95
42,Luis Chaplyn,82,6,38,81
43,Peggi Baggarley,58,1,61,14
44,Mala St. John,71,95,69,72
45,Pyotr Maplesden,72,19,27,56
46,Brit Scones,74,3,70,64
47,Hedy Gollard,18,90,21,8
48,Maria Kuhne,27,42,35,31
49,Phylys Hanselmann,61,29,4,55
50,Caz Clother,98,78,86,9
51,Aubert Ravelus,78,100,27,37
52,Agathe Fyfield,26,54,69,61
